#originalx originaly dispx dispy
2.1600E-03 0.0000E+00 1.2700E-07 -1.5167E-08
2.1400E-03 0.0000E+00 1.2989E-07 -1.5540E-08
2.1200E-03 0.0000E+00 1.3355E-07 -1.5962E-08
2.1000E-03 0.0000E+00 1.3741E-07 -1.7180E-08
2.0800E-03 0.0000E+00 1.4117E-07 -1.7933E-08
2.0600E-03 0.0000E+00 1.4520E-07 -1.8310E-08
2.0400E-03 0.0000E+00 1.4967E-07 -1.8637E-08
2.0200E-03 0.0000E+00 1.5445E-07 -1.8937E-08
2.0000E-03 0.0000E+00 1.5924E-07 -1.9465E-08
1.9800E-03 0.0000E+00 1.6403E-07 -2.0214E-08
1.9600E-03 0.0000E+00 1.6903E-07 -2.0951E-08
1.9400E-03 0.0000E+00 1.7393E-07 -2.2426E-08
1.9200E-03 0.0000E+00 1.7806E-07 -2.4236E-08
1.9000E-03 0.0000E+00 1.8205E-07 -2.4378E-08
1.8800E-03 0.0000E+00 1.8716E-07 -2.3210E-08
1.8600E-03 0.0000E+00 1.9323E-07 -2.3265E-08
1.8400E-03 0.0000E+00 1.9938E-07 -2.4025E-08
1.8200E-03 0.0000E+00 2.0553E-07 -2.5251E-08
1.8000E-03 0.0000E+00 2.1177E-07 -2.6474E-08
1.7800E-03 0.0000E+00 2.1833E-07 -2.7490E-08
1.7600E-03 0.0000E+00 2.2517E-07 -2.9127E-08
1.7400E-03 0.0000E+00 2.3203E-07 -3.0479E-08
1.7200E-03 0.0000E+00 2.3942E-07 -3.1638E-08
1.7000E-03 0.0000E+00 2.4721E-07 -3.3115E-08
1.6800E-03 0.0000E+00 2.5572E-07 -3.4584E-08
1.6600E-03 0.0000E+00 2.6484E-07 -3.6913E-08
1.6400E-03 0.0000E+00 2.7358E-07 -3.9776E-08
1.6200E-03 0.0000E+00 2.8229E-07 -4.1620E-08
1.6000E-03 0.0000E+00 2.9164E-07 -4.3237E-08
1.5800E-03 0.0000E+00 3.0133E-07 -4.4254E-08
1.5600E-03 0.0000E+00 3.1115E-07 -4.4261E-08
1.5400E-03 0.0000E+00 3.2131E-07 -4.3350E-08
1.5200E-03 0.0000E+00 3.3223E-07 -4.1995E-08
